Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,850
Conversion Gain:,1024
Coarse Gain:,4
Fine Gain:,1.56
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:,0.0,1.0
Calibration Channels:,373,630
Calibration Energies:,511.0,1274.0
Elapsed Real Time:,155.55
Elapsed Live Time:,150.0
Start Time:,March 06, 2026, 02:11:40
End Time:,March 06, 2026, 02:14:15
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
354,354.0,1107
355,355.0,1131
356,356.0,1144
357,357.0,1184
358,358.0,1128
359,359.0,1128
360,360.0,1131
361,361.0,1087
362,362.0,1077
363,363.0,1068
364,364.0,1009
365,365.0,990
366,366.0,958
367,367.0,879
368,368.0,807
369,369.0,750
370,370.0,738
371,371.0,695
372,372.0,642
373,373.0,609
374,374.0,543
375,375.0,505
376,376.0,490
377,377.0,446
378,378.0,407
379,379.0,362
380,380.0,333
381,381.0,298
382,382.0,295
383,383.0,283
384,384.0,243
385,385.0,235
386,386.0,243
387,387.0,234
388,388.0,223
389,389.0,213
390,390.0,234
391,391.0,188
392,392.0,178
393,393.0,206
394,394.0,186
395,395.0,182
396,396.0,186
397,397.0,158
398,398.0,180
399,399.0,172
400,400.0,174
401,401.0,181
402,402.0,155
403,403.0,194
404,404.0,164
405,405.0,171
406,406.0,157
407,407.0,193
408,408.0,163
409,409.0,176
410,410.0,175
411,411.0,165
412,412.0,188
413,413.0,200
414,414.0,205
415,415.0,157
416,416.0,198
417,417.0,166
418,418.0,152
419,419.0,166
420,420.0,166
421,421.0,203
422,422.0,192
423,423.0,183
424,424.0,190
425,425.0,183
426,426.0,217
427,427.0,185
428,428.0,187
429,429.0,169
430,430.0,181
431,431.0,182
432,432.0,175
433,433.0,168
434,434.0,209
435,435.0,172
436,436.0,185
437,437.0,213
438,438.0,185
439,439.0,172
440,440.0,198
441,441.0,179
442,442.0,173
443,443.0,187
444,444.0,198
445,445.0,176
446,446.0,195
447,447.0,191
448,448.0,174
449,449.0,178
450,450.0,177
451,451.0,180
452,452.0,185
453,453.0,152
454,454.0,178
455,455.0,209
456,456.0,200
457,457.0,172
458,458.0,163
459,459.0,178
460,460.0,172
461,461.0,184
462,462.0,173
463,463.0,179
464,464.0,163
465,465.0,175
466,466.0,170
467,467.0,169
468,468.0,156
469,469.0,164
470,470.0,150
471,471.0,150
472,472.0,153
473,473.0,149
474,474.0,154
475,475.0,130
476,476.0,146
477,477.0,136
478,478.0,143
479,479.0,140
480,480.0,153
481,481.0,114
482,482.0,149
483,483.0,148
484,484.0,144
485,485.0,149
486,486.0,141
487,487.0,137
488,488.0,137
489,489.0,139
490,490.0,139
491,491.0,104
492,492.0,122
493,493.0,131
494,494.0,136
495,495.0,114
496,496.0,138
497,497.0,120
498,498.0,124
499,499.0,143
500,500.0,119
501,501.0,125
502,502.0,119
503,503.0,130
504,504.0,125
505,505.0,109
506,506.0,137
507,507.0,150
508,508.0,133
509,509.0,128
510,510.0,140
511,511.0,139
512,512.0,131
513,513.0,132
514,514.0,126
515,515.0,117
516,516.0,118
517,517.0,121
518,518.0,140
519,519.0,120
520,520.0,127
521,521.0,133
522,522.0,119
523,523.0,115
524,524.0,122
525,525.0,136
526,526.0,109
527,527.0,143
528,528.0,100
529,529.0,114
530,530.0,142
531,531.0,122
532,532.0,130
533,533.0,113
534,534.0,99
535,535.0,98
536,536.0,135
537,537.0,119
538,538.0,106
539,539.0,106
540,540.0,94
541,541.0,101
542,542.0,109
543,543.0,121
544,544.0,123
545,545.0,102
546,546.0,107
547,547.0,98
548,548.0,110
549,549.0,116
550,550.0,132
551,551.0,102
552,552.0,111
553,553.0,104
554,554.0,96
555,555.0,99
556,556.0,106
557,557.0,104
558,558.0,108
559,559.0,118
560,560.0,122
561,561.0,122
562,562.0,99
563,563.0,114
564,564.0,126
565,565.0,133
566,566.0,129
567,567.0,113
568,568.0,111
569,569.0,126
570,570.0,112
571,571.0,128
572,572.0,107
573,573.0,108
574,574.0,98
575,575.0,105
576,576.0,109
577,577.0,108
578,578.0,101
579,579.0,106
580,580.0,108
581,581.0,109
582,582.0,107
583,583.0,110
584,584.0,99
585,585.0,111
586,586.0,95
587,587.0,112
588,588.0,104
589,589.0,95
590,590.0,104
591,591.0,114
592,592.0,109
593,593.0,107
594,594.0,106
595,595.0,98
596,596.0,111
597,597.0,113
598,598.0,104
599,599.0,109
600,600.0,89
601,601.0,83
602,602.0,104
603,603.0,101
604,604.0,87
605,605.0,92
606,606.0,100
607,607.0,80
608,608.0,93
609,609.0,106
610,610.0,87
611,611.0,86
612,612.0,108
613,613.0,105
614,614.0,99
615,615.0,98
616,616.0,92
617,617.0,76
618,618.0,79
619,619.0,74
620,620.0,72
621,621.0,86
622,622.0,93
623,623.0,89
624,624.0,86
625,625.0,93
626,626.0,78
627,627.0,84
628,628.0,107
629,629.0,92
630,630.0,91
631,631.0,81
632,632.0,104
633,633.0,92
634,634.0,76
635,635.0,101
636,636.0,81
637,637.0,93
