Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,850
Conversion Gain:,1024
Coarse Gain:,4
Fine Gain:,1.56
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:,0.0,1.0
Calibration Channels:,373,630
Calibration Energies:,511.0,1274.0
Elapsed Real Time:,151.5
Elapsed Live Time:,150.0
Start Time:,March 06, 2026, 02:01:36
End Time:,March 06, 2026, 02:04:07
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
360,360.0,78
361,361.0,69
362,362.0,59
363,363.0,76
364,364.0,65
365,365.0,74
366,366.0,78
367,367.0,74
368,368.0,71
369,369.0,83
370,370.0,63
371,371.0,50
372,372.0,75
373,373.0,72
374,374.0,59
375,375.0,46
376,376.0,62
377,377.0,74
378,378.0,56
379,379.0,61
380,380.0,43
381,381.0,47
382,382.0,47
383,383.0,56
384,384.0,48
385,385.0,47
386,386.0,37
387,387.0,37
388,388.0,42
389,389.0,35
390,390.0,33
391,391.0,44
392,392.0,39
393,393.0,39
394,394.0,35
395,395.0,35
396,396.0,26
397,397.0,28
398,398.0,31
399,399.0,33
400,400.0,30
401,401.0,32
402,402.0,22
403,403.0,34
404,404.0,38
405,405.0,38
406,406.0,37
407,407.0,30
408,408.0,26
409,409.0,31
410,410.0,27
411,411.0,30
412,412.0,32
413,413.0,27
414,414.0,31
415,415.0,34
416,416.0,30
417,417.0,31
418,418.0,33
419,419.0,23
420,420.0,24
421,421.0,27
422,422.0,29
423,423.0,35
424,424.0,22
425,425.0,29
426,426.0,28
427,427.0,22
428,428.0,31
429,429.0,22
430,430.0,35
431,431.0,30
432,432.0,32
433,433.0,13
434,434.0,26
435,435.0,27
436,436.0,22
437,437.0,30
438,438.0,24
439,439.0,35
440,440.0,22
441,441.0,25
442,442.0,26
443,443.0,22
444,444.0,35
445,445.0,40
446,446.0,33
447,447.0,31
448,448.0,21
449,449.0,26
450,450.0,24
451,451.0,35
452,452.0,23
453,453.0,18
454,454.0,30
455,455.0,22
456,456.0,26
457,457.0,20
458,458.0,31
459,459.0,27
460,460.0,28
461,461.0,13
462,462.0,22
463,463.0,18
464,464.0,29
465,465.0,25
466,466.0,16
467,467.0,33
468,468.0,21
469,469.0,23
470,470.0,25
471,471.0,10
472,472.0,26
473,473.0,23
474,474.0,16
475,475.0,21
476,476.0,24
477,477.0,27
478,478.0,22
479,479.0,31
480,480.0,30
481,481.0,30
482,482.0,20
483,483.0,29
484,484.0,15
485,485.0,16
486,486.0,36
487,487.0,22
488,488.0,26
489,489.0,32
490,490.0,34
491,491.0,26
492,492.0,27
493,493.0,34
494,494.0,31
495,495.0,29
496,496.0,39
497,497.0,39
498,498.0,39
499,499.0,40
500,500.0,52
501,501.0,44
502,502.0,42
503,503.0,54
504,504.0,50
505,505.0,56
506,506.0,49
507,507.0,47
508,508.0,77
509,509.0,59
510,510.0,66
511,511.0,48
512,512.0,65
513,513.0,66
514,514.0,79
515,515.0,68
516,516.0,66
517,517.0,74
518,518.0,67
519,519.0,76
520,520.0,67
521,521.0,73
522,522.0,65
523,523.0,83
524,524.0,69
525,525.0,56
526,526.0,68
527,527.0,62
528,528.0,54
529,529.0,67
530,530.0,58
531,531.0,58
532,532.0,69
533,533.0,55
534,534.0,50
535,535.0,43
536,536.0,40
537,537.0,46
538,538.0,51
539,539.0,50
540,540.0,39
541,541.0,44
542,542.0,30
543,543.0,38
544,544.0,36
545,545.0,26
546,546.0,27
547,547.0,22
548,548.0,26
549,549.0,21
550,550.0,20
551,551.0,18
552,552.0,17
553,553.0,15
554,554.0,22
555,555.0,24
556,556.0,20
557,557.0,19
558,558.0,16
559,559.0,18
560,560.0,11
561,561.0,19
562,562.0,15
563,563.0,15
564,564.0,12
565,565.0,16
566,566.0,11
567,567.0,8
568,568.0,3
569,569.0,14
570,570.0,15
571,571.0,13
572,572.0,13
573,573.0,4
574,574.0,17
575,575.0,12
576,576.0,11
577,577.0,20
578,578.0,17
579,579.0,10
580,580.0,11
581,581.0,14
582,582.0,10
583,583.0,13
584,584.0,14
585,585.0,18
586,586.0,21
587,587.0,17
588,588.0,19
589,589.0,19
590,590.0,17
591,591.0,6
592,592.0,15
593,593.0,6
594,594.0,11
595,595.0,18
596,596.0,11
597,597.0,5
598,598.0,15
599,599.0,13
600,600.0,21
601,601.0,15
602,602.0,14
603,603.0,13
604,604.0,12
605,605.0,16
606,606.0,8
607,607.0,10
608,608.0,7
609,609.0,12
610,610.0,15
611,611.0,10
612,612.0,18
613,613.0,7
614,614.0,13
615,615.0,21
616,616.0,12
617,617.0,10
618,618.0,12
619,619.0,17
620,620.0,10
621,621.0,17
622,622.0,6
623,623.0,18
624,624.0,15
625,625.0,14
626,626.0,19
627,627.0,12
628,628.0,21
629,629.0,14
630,630.0,20
631,631.0,20
632,632.0,17
633,633.0,16
634,634.0,23
635,635.0,21
636,636.0,30
637,637.0,23
638,638.0,23
639,639.0,20
640,640.0,26
641,641.0,25
642,642.0,22
643,643.0,27
644,644.0,35
645,645.0,21
646,646.0,32
647,647.0,37
648,648.0,42
649,649.0,51
650,650.0,39
651,651.0,42
652,652.0,42
653,653.0,42
654,654.0,40
655,655.0,42
656,656.0,45
657,657.0,44
658,658.0,43
659,659.0,60
660,660.0,49
661,661.0,45
662,662.0,57
663,663.0,64
664,664.0,47
665,665.0,43
666,666.0,55
667,667.0,51
668,668.0,57
669,669.0,38
670,670.0,59
671,671.0,63
672,672.0,50
673,673.0,58
674,674.0,53
675,675.0,54
676,676.0,50
677,677.0,43
678,678.0,51
679,679.0,58
680,680.0,49
681,681.0,43
682,682.0,42
683,683.0,43
684,684.0,32
685,685.0,41
686,686.0,32
687,687.0,26
688,688.0,49
689,689.0,32
690,690.0,28
691,691.0,32
692,692.0,33
693,693.0,23
694,694.0,27
695,695.0,23
696,696.0,17
697,697.0,23
698,698.0,21
699,699.0,26
700,700.0,17
701,701.0,19
702,702.0,27
703,703.0,23
704,704.0,10
705,705.0,16
706,706.0,21
707,707.0,13
708,708.0,11
709,709.0,17
710,710.0,14
711,711.0,13
712,712.0,20
713,713.0,5
714,714.0,11
715,715.0,13
716,716.0,19
717,717.0,14
718,718.0,4
719,719.0,15
720,720.0,8
721,721.0,11
722,722.0,10
723,723.0,11
724,724.0,8
725,725.0,13
726,726.0,12
727,727.0,15
728,728.0,18
729,729.0,4
730,730.0,7
731,731.0,9
732,732.0,12
733,733.0,8
734,734.0,8
735,735.0,7
736,736.0,10
737,737.0,6
738,738.0,8
739,739.0,14
740,740.0,12
741,741.0,9
742,742.0,8
743,743.0,8
744,744.0,10
745,745.0,7
746,746.0,8
747,747.0,9
748,748.0,12
749,749.0,5
750,750.0,7
751,751.0,9
752,752.0,10
753,753.0,13
754,754.0,9
755,755.0,5
756,756.0,12
757,757.0,9
758,758.0,9
759,759.0,11
760,760.0,16
761,761.0,9
762,762.0,11
763,763.0,12
764,764.0,11
765,765.0,10
766,766.0,5
767,767.0,7
768,768.0,13
769,769.0,6
770,770.0,5
771,771.0,7
772,772.0,6
773,773.0,15
774,774.0,14
775,775.0,7
776,776.0,11
777,777.0,14
778,778.0,12
779,779.0,12
780,780.0,13
781,781.0,11
782,782.0,14
783,783.0,9
784,784.0,5
785,785.0,8
786,786.0,10
787,787.0,4
788,788.0,6
789,789.0,13
790,790.0,15
791,791.0,7
792,792.0,10
793,793.0,12
794,794.0,9
795,795.0,12
796,796.0,4
797,797.0,13
798,798.0,12
799,799.0,13
800,800.0,10
801,801.0,16
802,802.0,10
803,803.0,13
804,804.0,18
805,805.0,17
806,806.0,13
807,807.0,12
808,808.0,8
809,809.0,11
810,810.0,8
811,811.0,5
812,812.0,14
813,813.0,8
814,814.0,9
815,815.0,9
816,816.0,12
817,817.0,6
818,818.0,6
819,819.0,2
820,820.0,6
821,821.0,12
822,822.0,11
823,823.0,8
824,824.0,10
825,825.0,10
826,826.0,9
827,827.0,11
828,828.0,11
829,829.0,6
830,830.0,12
831,831.0,6
832,832.0,14
833,833.0,16
834,834.0,6
835,835.0,8
836,836.0,14
837,837.0,7
838,838.0,12
839,839.0,8
840,840.0,9
841,841.0,7
842,842.0,10
843,843.0,9
844,844.0,11
845,845.0,17
846,846.0,11
847,847.0,9
848,848.0,10
849,849.0,15
850,850.0,7
851,851.0,10
852,852.0,13
853,853.0,15
854,854.0,12
855,855.0,7
856,856.0,9
857,857.0,9
858,858.0,10
859,859.0,14
860,860.0,7
861,861.0,12
862,862.0,4
863,863.0,12
864,864.0,10
865,865.0,12
866,866.0,6
867,867.0,13
868,868.0,13
869,869.0,13
870,870.0,8
871,871.0,13
872,872.0,12
873,873.0,9
874,874.0,16
875,875.0,8
876,876.0,9
877,877.0,7
878,878.0,10
879,879.0,10
880,880.0,9
881,881.0,8
882,882.0,10
883,883.0,7
884,884.0,5
885,885.0,11
886,886.0,8
887,887.0,10
888,888.0,9
889,889.0,6
890,890.0,9
891,891.0,6
892,892.0,7
893,893.0,12
894,894.0,5
895,895.0,14
896,896.0,5
897,897.0,5
898,898.0,10
899,899.0,6
900,900.0,9
901,901.0,4
902,902.0,14
903,903.0,10
904,904.0,5
905,905.0,13
906,906.0,10
907,907.0,5
908,908.0,9
909,909.0,5
910,910.0,12
911,911.0,7
912,912.0,6
913,913.0,12
914,914.0,11
915,915.0,9
916,916.0,11
917,917.0,10
918,918.0,14
919,919.0,8
920,920.0,19
921,921.0,12
922,922.0,10
923,923.0,14
924,924.0,8
925,925.0,16
926,926.0,14
927,927.0,15
928,928.0,8
929,929.0,6
930,930.0,14
931,931.0,11
932,932.0,10
933,933.0,4
934,934.0,6
935,935.0,7
936,936.0,10
937,937.0,13
938,938.0,10
939,939.0,9
940,940.0,6
941,941.0,13
942,942.0,13
943,943.0,7
944,944.0,10
945,945.0,12
946,946.0,13
947,947.0,10
948,948.0,13
949,949.0,14
950,950.0,5
951,951.0,6
952,952.0,5
953,953.0,9
954,954.0,6
955,955.0,9
956,956.0,11
957,957.0,10
958,958.0,9
959,959.0,8
960,960.0,14
961,961.0,8
962,962.0,7
963,963.0,8
964,964.0,8
965,965.0,8
966,966.0,7
967,967.0,7
968,968.0,16
969,969.0,13
970,970.0,11
971,971.0,12
972,972.0,8
973,973.0,7
974,974.0,11
975,975.0,6
976,976.0,9
977,977.0,18
978,978.0,5
979,979.0,9
980,980.0,6
981,981.0,11
982,982.0,9
983,983.0,11
984,984.0,10
985,985.0,6
986,986.0,6
987,987.0,10
988,988.0,10
989,989.0,5
990,990.0,7
991,991.0,6
992,992.0,5
993,993.0,6
994,994.0,8
995,995.0,6
996,996.0,6
997,997.0,7
998,998.0,11
999,999.0,9
1000,1000.0,3
1001,1001.0,6
1002,1002.0,13
1003,1003.0,7
1004,1004.0,15
1005,1005.0,6
