Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,850
Conversion Gain:,1024
Coarse Gain:,4
Fine Gain:,1.56
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:,0.0,1.0
Calibration Channels:,373,630
Calibration Energies:,511.0,1274.0
Elapsed Real Time:,155.52
Elapsed Live Time:,150.0
Start Time:,March 06, 2026, 02:19:22
End Time:,March 06, 2026, 02:21:58
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
354,354.0,1164
355,355.0,1220
356,356.0,1074
357,357.0,1140
358,358.0,1167
359,359.0,1119
360,360.0,1196
361,361.0,1139
362,362.0,1054
363,363.0,1027
364,364.0,1015
365,365.0,986
366,366.0,940
367,367.0,806
368,368.0,836
369,369.0,778
370,370.0,747
371,371.0,682
372,372.0,677
373,373.0,617
374,374.0,573
375,375.0,519
376,376.0,466
377,377.0,429
378,378.0,390
379,379.0,414
380,380.0,340
381,381.0,364
382,382.0,307
383,383.0,285
384,384.0,273
385,385.0,256
386,386.0,220
387,387.0,236
388,388.0,239
389,389.0,225
390,390.0,201
391,391.0,186
392,392.0,194
393,393.0,176
394,394.0,182
395,395.0,189
396,396.0,181
397,397.0,180
398,398.0,182
399,399.0,154
400,400.0,171
401,401.0,161
402,402.0,172
403,403.0,171
404,404.0,170
405,405.0,166
406,406.0,149
407,407.0,166
408,408.0,177
409,409.0,182
410,410.0,157
411,411.0,183
412,412.0,192
413,413.0,164
414,414.0,155
415,415.0,173
416,416.0,185
417,417.0,171
418,418.0,148
419,419.0,197
420,420.0,165
421,421.0,200
422,422.0,167
423,423.0,185
424,424.0,190
425,425.0,176
426,426.0,214
427,427.0,190
428,428.0,181
429,429.0,165
430,430.0,186
431,431.0,173
432,432.0,211
433,433.0,186
434,434.0,188
435,435.0,158
436,436.0,174
437,437.0,190
438,438.0,171
439,439.0,175
440,440.0,206
441,441.0,166
442,442.0,204
443,443.0,203
444,444.0,201
445,445.0,170
446,446.0,188
447,447.0,172
448,448.0,190
449,449.0,175
450,450.0,177
451,451.0,166
452,452.0,184
453,453.0,184
454,454.0,176
455,455.0,194
456,456.0,159
457,457.0,178
458,458.0,184
459,459.0,175
460,460.0,166
461,461.0,194
462,462.0,164
463,463.0,174
464,464.0,176
465,465.0,161
466,466.0,152
467,467.0,158
468,468.0,161
469,469.0,162
470,470.0,152
471,471.0,154
472,472.0,154
473,473.0,151
474,474.0,156
475,475.0,156
476,476.0,138
477,477.0,150
478,478.0,141
479,479.0,123
480,480.0,122
481,481.0,128
482,482.0,125
483,483.0,152
484,484.0,130
485,485.0,122
486,486.0,124
487,487.0,128
488,488.0,107
489,489.0,125
490,490.0,130
491,491.0,124
492,492.0,130
493,493.0,123
494,494.0,120
495,495.0,133
496,496.0,124
497,497.0,126
498,498.0,144
499,499.0,135
500,500.0,103
501,501.0,137
502,502.0,147
503,503.0,135
504,504.0,134
505,505.0,147
506,506.0,156
507,507.0,128
508,508.0,144
509,509.0,131
510,510.0,137
511,511.0,131
512,512.0,123
513,513.0,141
514,514.0,133
515,515.0,123
516,516.0,121
517,517.0,142
518,518.0,121
519,519.0,132
520,520.0,143
521,521.0,98
522,522.0,109
523,523.0,117
524,524.0,126
525,525.0,128
526,526.0,110
527,527.0,104
528,528.0,116
529,529.0,129
530,530.0,109
531,531.0,107
532,532.0,105
533,533.0,109
534,534.0,76
535,535.0,110
536,536.0,112
537,537.0,102
538,538.0,113
539,539.0,120
540,540.0,99
541,541.0,108
542,542.0,115
543,543.0,119
544,544.0,137
545,545.0,112
546,546.0,101
547,547.0,98
548,548.0,122
549,549.0,116
550,550.0,119
551,551.0,126
552,552.0,132
553,553.0,106
554,554.0,100
555,555.0,117
556,556.0,122
557,557.0,127
558,558.0,124
559,559.0,117
560,560.0,111
561,561.0,99
562,562.0,125
563,563.0,100
564,564.0,104
565,565.0,114
566,566.0,113
567,567.0,123
568,568.0,117
569,569.0,123
570,570.0,126
571,571.0,117
572,572.0,110
573,573.0,114
574,574.0,114
575,575.0,120
576,576.0,120
577,577.0,116
578,578.0,111
579,579.0,128
580,580.0,111
581,581.0,91
582,582.0,111
583,583.0,102
584,584.0,115
585,585.0,118
586,586.0,121
587,587.0,111
588,588.0,107
589,589.0,103
590,590.0,98
591,591.0,124
592,592.0,111
593,593.0,93
594,594.0,103
595,595.0,84
596,596.0,100
597,597.0,92
598,598.0,110
599,599.0,99
600,600.0,101
601,601.0,91
602,602.0,119
603,603.0,100
604,604.0,94
605,605.0,96
606,606.0,108
607,607.0,90
608,608.0,96
609,609.0,90
610,610.0,85
611,611.0,90
612,612.0,83
613,613.0,90
614,614.0,89
615,615.0,99
616,616.0,102
617,617.0,87
618,618.0,106
619,619.0,95
620,620.0,112
621,621.0,62
622,622.0,92
623,623.0,85
624,624.0,94
625,625.0,81
626,626.0,82
627,627.0,91
628,628.0,107
629,629.0,88
630,630.0,85
631,631.0,92
632,632.0,96
633,633.0,87
634,634.0,90
635,635.0,87
636,636.0,82
637,637.0,85
638,638.0,84
639,639.0,85
640,640.0,86
641,641.0,97
642,642.0,79
643,643.0,81
644,644.0,85
645,645.0,85
646,646.0,93
647,647.0,97
648,648.0,96
649,649.0,95
650,650.0,92
651,651.0,91
652,652.0,92
653,653.0,99
654,654.0,92
655,655.0,108
656,656.0,95
657,657.0,96
658,658.0,83
659,659.0,89
660,660.0,98
661,661.0,104
662,662.0,108
663,663.0,106
664,664.0,108
665,665.0,90
666,666.0,90
667,667.0,95
668,668.0,87
669,669.0,76
670,670.0,116
671,671.0,91
672,672.0,95
673,673.0,101
674,674.0,111
675,675.0,92
676,676.0,100
677,677.0,113
678,678.0,104
679,679.0,118
680,680.0,90
681,681.0,110
682,682.0,88
683,683.0,113
684,684.0,98
685,685.0,90
686,686.0,110
687,687.0,101
688,688.0,86
689,689.0,117
690,690.0,94
691,691.0,103
692,692.0,77
693,693.0,91
694,694.0,87
695,695.0,90
696,696.0,100
697,697.0,112
698,698.0,92
699,699.0,99
700,700.0,97
701,701.0,91
702,702.0,81
703,703.0,89
704,704.0,71
705,705.0,88
706,706.0,88
707,707.0,87
708,708.0,80
709,709.0,101
710,710.0,93
711,711.0,85
712,712.0,101
713,713.0,92
714,714.0,107
715,715.0,75
716,716.0,86
717,717.0,92
718,718.0,102
719,719.0,94
720,720.0,77
721,721.0,80
722,722.0,103
723,723.0,92
724,724.0,103
725,725.0,91
726,726.0,100
727,727.0,96
728,728.0,90
729,729.0,105
730,730.0,90
731,731.0,101
732,732.0,97
733,733.0,92
734,734.0,97
735,735.0,85
736,736.0,91
737,737.0,88
738,738.0,95
739,739.0,89
740,740.0,100
741,741.0,84
742,742.0,104
743,743.0,101
744,744.0,91
745,745.0,105
746,746.0,92
747,747.0,96
748,748.0,95
749,749.0,108
750,750.0,120
751,751.0,124
752,752.0,100
753,753.0,103
754,754.0,113
755,755.0,129
756,756.0,113
757,757.0,116
758,758.0,126
759,759.0,118
760,760.0,130
761,761.0,120
762,762.0,131
763,763.0,131
764,764.0,161
765,765.0,153
766,766.0,147
767,767.0,153
768,768.0,154
769,769.0,152
770,770.0,156
771,771.0,135
772,772.0,161
773,773.0,179
774,774.0,147
775,775.0,162
776,776.0,169
777,777.0,194
778,778.0,166
779,779.0,165
780,780.0,153
781,781.0,158
782,782.0,170
783,783.0,177
784,784.0,200
785,785.0,171
786,786.0,151
787,787.0,144
788,788.0,161
789,789.0,161
790,790.0,182
791,791.0,162
792,792.0,166
793,793.0,158
794,794.0,151
795,795.0,150
796,796.0,143
797,797.0,133
798,798.0,125
799,799.0,147
800,800.0,121
801,801.0,122
802,802.0,143
803,803.0,126
804,804.0,133
805,805.0,147
806,806.0,124
807,807.0,121
808,808.0,118
809,809.0,127
810,810.0,113
811,811.0,99
812,812.0,109
813,813.0,84
814,814.0,109
815,815.0,105
816,816.0,105
817,817.0,93
818,818.0,89
819,819.0,90
820,820.0,72
821,821.0,84
822,822.0,93
823,823.0,82
824,824.0,65
825,825.0,64
826,826.0,88
827,827.0,63
828,828.0,70
829,829.0,86
830,830.0,92
831,831.0,68
832,832.0,78
833,833.0,87
834,834.0,70
835,835.0,71
836,836.0,88
837,837.0,58
838,838.0,61
839,839.0,81
840,840.0,71
841,841.0,86
842,842.0,81
843,843.0,83
844,844.0,73
845,845.0,79
846,846.0,78
847,847.0,64
848,848.0,90
849,849.0,72
850,850.0,84
851,851.0,73
852,852.0,72
853,853.0,76
854,854.0,80
855,855.0,87
856,856.0,82
857,857.0,70
858,858.0,76
859,859.0,72
860,860.0,99
861,861.0,85
862,862.0,82
863,863.0,95
864,864.0,76
865,865.0,78
866,866.0,67
867,867.0,82
868,868.0,90
869,869.0,82
870,870.0,96
871,871.0,92
872,872.0,74
873,873.0,84
874,874.0,67
875,875.0,78
876,876.0,88
877,877.0,77
878,878.0,63
879,879.0,60
880,880.0,74
881,881.0,63
882,882.0,73
883,883.0,83
884,884.0,71
885,885.0,62
886,886.0,86
