Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,850
Conversion Gain:,1024
Coarse Gain:,4
Fine Gain:,1.56
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:,0.0,1.0
Calibration Channels:,373,630
Calibration Energies:,511.0,1274.0
Elapsed Real Time:,155.54
Elapsed Live Time:,150.0
Start Time:,March 06, 2026, 02:28:51
End Time:,March 06, 2026, 02:31:27
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,0.0,0
1,1.0,0
2,2.0,0
3,3.0,0
4,4.0,0
5,5.0,0
6,6.0,0
7,7.0,0
8,8.0,0
9,9.0,0
10,10.0,0
11,11.0,1
12,12.0,1
13,13.0,0
14,14.0,0
15,15.0,112
16,16.0,612
17,17.0,580
18,18.0,575
19,19.0,525
20,20.0,577
21,21.0,643
22,22.0,666
23,23.0,784
24,24.0,827
25,25.0,938
26,26.0,1017
27,27.0,1141
28,28.0,1261
29,29.0,1376
30,30.0,1587
31,31.0,1816
32,32.0,2169
33,33.0,2653
34,34.0,3580
35,35.0,4701
36,36.0,6189
37,37.0,8470
38,38.0,11521
39,39.0,14857
40,40.0,17615
41,41.0,18752
42,42.0,17794
43,43.0,15222
44,44.0,12162
45,45.0,9237
46,46.0,7379
47,47.0,6319
48,48.0,5429
49,49.0,4814
50,50.0,4183
51,51.0,3284
52,52.0,2459
53,53.0,1599
54,54.0,1153
55,55.0,830
56,56.0,683
57,57.0,538
58,58.0,489
59,59.0,452
60,60.0,422
61,61.0,449
62,62.0,399
63,63.0,400
64,64.0,389
65,65.0,417
66,66.0,398
67,67.0,393
68,68.0,358
69,69.0,424
70,70.0,447
71,71.0,472
72,72.0,490
73,73.0,566
74,74.0,640
75,75.0,691
76,76.0,784
77,77.0,857
78,78.0,901
79,79.0,932
80,80.0,970
81,81.0,994
82,82.0,1031
83,83.0,981
84,84.0,961
85,85.0,923
86,86.0,960
87,87.0,985
88,88.0,1024
89,89.0,1103
90,90.0,1166
91,91.0,1201
92,92.0,1139
93,93.0,1127
94,94.0,1112
95,95.0,1054
96,96.0,1021
97,97.0,985
98,98.0,902
99,99.0,867
100,100.0,830
101,101.0,755
102,102.0,730
103,103.0,719
104,104.0,667
105,105.0,582
106,106.0,586
107,107.0,624
108,108.0,549
109,109.0,534
110,110.0,563
111,111.0,631
112,112.0,613
113,113.0,609
114,114.0,651
115,115.0,702
116,116.0,820
117,117.0,918
118,118.0,1149
119,119.0,1336
120,120.0,1677
121,121.0,1886
122,122.0,2460
123,123.0,2977
124,124.0,3530
125,125.0,4129
126,126.0,4687
127,127.0,5139
128,128.0,5581
129,129.0,5777
130,130.0,5874
131,131.0,5497
132,132.0,5293
133,133.0,4820
134,134.0,4285
135,135.0,3693
136,136.0,3073
137,137.0,2527
138,138.0,2081
139,139.0,1675
140,140.0,1310
141,141.0,1001
142,142.0,888
143,143.0,734
144,144.0,604
145,145.0,572
146,146.0,525
147,147.0,469
148,148.0,441
149,149.0,438
150,150.0,429
151,151.0,430
152,152.0,430
153,153.0,395
154,154.0,414
155,155.0,395
156,156.0,411
157,157.0,424
158,158.0,424
159,159.0,403
160,160.0,432
161,161.0,416
162,162.0,459
163,163.0,421
164,164.0,453
165,165.0,453
166,166.0,456
167,167.0,528
168,168.0,524
169,169.0,547
170,170.0,624
