Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,850
Conversion Gain:,1024
Coarse Gain:,4
Fine Gain:,1.53
Upper Discriminator:,1047
Lower Discriminator:,11
Calibration Coefficients:,-2.054054054054049,1.0015898251192368
Calibration Channels:,373,630
Calibration Energies:,511.0,1274.0
Elapsed Real Time:,159.94
Elapsed Live Time:,156.13
Start Time:,March 05, 2026, 03:34:23
End Time:,March 05, 2026, 03:37:04
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
63,61.046104928457865,489
64,62.047694753577105,483
65,63.049284578696344,499
66,64.05087440381558,483
67,65.05246422893481,567
68,66.05405405405405,531
69,67.05564387917329,526
70,68.05723370429253,520
71,69.05882352941177,584
72,70.060413354531,592
73,71.06200317965023,631
74,72.06359300476947,658
75,73.06518282988871,755
76,74.06677265500795,806
77,75.06836248012718,813
78,76.06995230524642,860
79,77.07154213036566,878
80,78.0731319554849,842
81,79.07472178060414,814
82,80.07631160572336,821
83,81.0779014308426,789
84,82.07949125596184,738
85,83.08108108108108,643
86,84.08267090620032,710
87,85.08426073131955,669
88,86.08585055643879,685
89,87.08744038155803,639
90,88.08903020667726,664
91,89.0906200317965,652
92,90.09220985691573,659
93,91.09379968203497,623
94,92.09538950715421,568
95,93.09697933227345,557
96,94.09856915739267,501
97,95.10015898251191,510
98,96.10174880763115,537
99,97.1033386327504,477
100,98.10492845786963,488
101,99.10651828298886,463
102,100.1081081081081,477
103,101.10969793322734,486
104,102.11128775834658,467
105,103.11287758346582,400
106,104.11446740858504,442
107,105.11605723370428,458
108,106.11764705882352,438
109,107.11923688394276,432
110,108.120826709062,488
111,109.12241653418123,428
112,110.12400635930047,468
113,111.1255961844197,446
114,112.12718600953895,490
115,113.12877583465819,476
116,114.13036565977741,442
117,115.13195548489665,484
118,116.13354531001589,507
119,117.13513513513513,498
120,118.13672496025437,431
121,119.1383147853736,506
122,120.13990461049283,515
123,121.14149443561207,533
124,122.14308426073131,524
125,123.14467408585055,524
126,124.14626391096978,530
127,125.14785373608902,491
128,126.14944356120826,549
129,127.15103338632748,538
130,128.15262321144672,553
131,129.15421303656598,502
132,130.15580286168523,466
133,131.15739268680443,540
134,132.15898251192368,543
135,133.16057233704294,503
136,134.16216216216213,538
137,135.1637519872814,431
138,136.16534181240064,475
139,137.16693163751984,476
140,138.1685214626391,427
141,139.17011128775835,444
142,140.1717011128776,476
143,141.1732909379968,471
144,142.17488076311605,465
145,143.1764705882353,464
146,144.1780604133545,464
147,145.17965023847376,435
148,146.181240063593,443
149,147.1828298887122,445
150,148.18441971383146,411
151,149.1860095389507,445
152,150.18759936406997,483
153,151.18918918918916,443
154,152.19077901430842,452
155,153.19236883942767,490
156,154.19395866454687,456
157,155.19554848966612,466
158,156.19713831478538,484
159,157.19872813990457,449
160,158.20031796502383,444
161,159.20190779014308,460
162,160.20349761526234,471
163,161.20508744038153,423
164,162.2066772655008,438
165,163.20826709062004,439
166,164.20985691573924,498
167,165.2114467408585,465
168,166.21303656597775,450
169,167.21462639109694,522
170,168.2162162162162,451
171,169.21780604133545,451
172,170.2193958664547,468
173,171.2209856915739,461
174,172.22257551669315,466
175,173.2241653418124,438
176,174.2257551669316,466
177,175.22734499205086,495
178,176.2289348171701,471
179,177.2305246422893,468
180,178.23211446740856,497
181,179.23370429252782,483
182,180.23529411764707,497
183,181.23688394276627,512
184,182.23847376788552,503
185,183.24006359300478,542
186,184.24165341812397,572
187,185.24324324324323,511
188,186.24483306836248,562
189,187.24642289348168,554
190,188.24801271860093,599
191,189.2496025437202,566
192,190.25119236883938,601
193,191.25278219395864,597
194,192.2543720190779,643
195,193.25596184419715,617
196,194.25755166931634,658
197,195.2591414944356,638
198,196.26073131955485,583
199,197.26232114467405,641
200,198.2639109697933,626
201,199.26550079491255,575
202,200.26709062003175,682
203,201.268680445151,682
204,202.27027027027026,638
205,203.2718600953895,690
206,204.2734499205087,634
207,205.27503974562796,661
208,206.27662957074722,692
209,207.27821939586642,666
210,208.27980922098567,692
211,209.28139904610492,696
212,210.28298887122412,679
213,211.28457869634337,634
214,212.28616852146263,635
215,213.28775834658188,635
216,214.28934817170108,663
217,215.29093799682033,626
218,216.2925278219396,622
219,217.29411764705878,588
220,218.29570747217804,681
221,219.2972972972973,598
222,220.2988871224165,592
223,221.30047694753574,632
224,222.302066772655,590
225,223.30365659777425,655
226,224.30524642289345,613
227,225.3068362480127,569
228,226.30842607313195,605
229,227.31001589825115,607
230,228.3116057233704,588
231,229.31319554848966,608
232,230.31478537360886,630
233,231.3163751987281,580
234,232.31796502384736,640
235,233.31955484896662,614
236,234.32114467408582,552
237,235.32273449920507,607
238,236.32432432432432,588
239,237.32591414944352,567
240,238.32750397456277,577
241,239.32909379968203,589
242,240.33068362480122,567
243,241.33227344992048,594
244,242.33386327503973,588
245,243.335453100159,573
246,244.33704292527818,563
247,245.33863275039744,571
248,246.3402225755167,561
249,247.3418124006359,535
250,248.34340222575514,541
251,249.3449920508744,536
252,250.3465818759936,528
253,251.34817170111285,526
254,252.3497615262321,548
255,253.35135135135135,554
256,254.35294117647055,548
257,255.3545310015898,564
258,256.356120826709,513
259,257.35771065182826,534
260,258.3593004769475,511
261,259.3608903020667,514
262,260.36248012718596,543
263,261.3640699523052,501
264,262.36565977742447,490
265,263.36724960254367,510
266,264.3688394276629,573
267,265.3704292527822,545
268,266.37201907790137,498
269,267.3736089030206,532
270,268.3751987281399,523
271,269.3767885532591,488
272,270.37837837837833,535
273,271.3799682034976,525
274,272.38155802861684,502
275,273.38314785373603,452
276,274.3847376788553,487
277,275.38632750397454,507
278,276.38791732909374,476
279,277.389507154213,510
280,278.39109697933225,505
281,279.39268680445144,479
282,280.3942766295707,452
283,281.39586645468995,475
284,282.3974562798092,496
285,283.3990461049284,510
286,284.40063593004766,442
287,285.4022257551669,455
288,286.4038155802861,499
289,287.40540540540536,465
290,288.4069952305246,436
291,289.4085850556438,507
292,290.41017488076307,420
293,291.4117647058823,445
294,292.4133545310016,474
295,293.41494435612077,489
296,294.41653418124,445
297,295.4181240063593,426
298,296.4197138314785,398
299,297.42130365659773,448
300,298.422893481717,456
301,299.4244833068362,439
302,300.42607313195543,452
303,301.4276629570747,475
304,302.42925278219394,441
305,303.43084260731314,454
306,304.4324324324324,443
307,305.43402225755165,417
308,306.43561208267084,418
309,307.4372019077901,452
310,308.43879173290935,433
311,309.44038155802855,417
312,310.4419713831478,409
313,311.44356120826706,402
314,312.4451510333863,405
315,313.4467408585055,422
316,314.44833068362476,453
317,315.449920508744,482
318,316.4515103338632,417
319,317.45310015898247,416
320,318.4546899841017,409
321,319.4562798092209,385
322,320.45786963434017,399
323,321.4594594594594,429
324,322.4610492845787,416
325,323.4626391096979,425
326,324.46422893481713,436
327,325.4658187599364,390
328,326.4674085850556,449
329,327.46899841017483,440
330,328.4705882352941,415
331,329.4721780604133,398
332,330.47376788553254,394
333,331.4753577106518,405
334,332.47694753577105,367
335,333.47853736089024,390
336,334.4801271860095,424
337,335.48171701112875,396
338,336.48330683624795,423
339,337.4848966613672,422
340,338.48648648648646,351
341,339.48807631160565,385
342,340.4896661367249,404
343,341.49125596184416,398
344,342.4928457869634,417
345,343.4944356120826,377
346,344.49602543720187,420
347,345.4976152623211,402
348,346.4992050874403,419
349,347.50079491255957,413
350,348.5023847376788,395
351,349.503974562798,411
352,350.5055643879173,421
353,351.50715421303653,383
354,352.5087440381558,417
355,353.510333863275,407
356,354.51192368839423,406
357,355.5135135135135,399
358,356.5151033386327,366
359,357.51669316375194,395
360,358.5182829888712,392
361,359.5198728139904,408
362,360.52146263910964,396
363,361.5230524642289,426
364,362.52464228934815,432
365,363.52623211446735,410
366,364.5278219395866,365
367,365.52941176470586,408
368,366.53100158982505,396
369,367.5325914149443,397
370,368.53418124006356,400
371,369.53577106518276,430
372,370.537360890302,416
373,371.53895071542127,417
374,372.5405405405405,359
375,373.5421303656597,406
376,374.54372019077897,434
377,375.5453100158982,384
378,376.5468998410174,418
379,377.5484896661367,374
380,378.55007949125593,394
381,379.5516693163751,368
382,380.5532591414944,389
383,381.55484896661363,411
384,382.55643879173283,398
385,383.5580286168521,424
386,384.55961844197134,362
387,385.5612082670906,408
388,386.5627980922098,381
389,387.56438791732904,407
390,388.5659777424483,397
391,389.5675675675675,396
392,390.56915739268675,402
393,391.570747217806,403
394,392.5723370429252,352
395,393.57392686804445,424
396,394.5755166931637,408
397,395.57710651828296,403
398,396.57869634340216,377
399,397.5802861685214,363
400,398.58187599364067,373
401,399.58346581875986,352
402,400.5850556438791,405
403,401.58664546899837,433
404,402.58823529411757,384
405,403.5898251192368,385
406,404.5914149443561,426
407,405.59300476947533,356
408,406.5945945945945,380
409,407.5961844197138,396
410,408.59777424483303,409
411,409.59936406995223,373
412,410.6009538950715,403
413,411.60254372019074,410
414,412.60413354530994,379
415,413.6057233704292,394
416,414.60731319554844,409
417,415.6089030206677,407
418,416.6104928457869,395
419,417.61208267090615,378
420,418.6136724960254,387
421,419.6152623211446,408
422,420.61685214626385,385
423,421.6184419713831,383
424,422.6200317965023,394
425,423.62162162162156,401
426,424.6232114467408,414
427,425.62480127186006,392
428,426.62639109697926,353
429,427.6279809220985,400
