Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,850
Conversion Gain:,1024
Coarse Gain:,4
Fine Gain:,1.56
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:,0.0,1.0
Calibration Channels:,373,630
Calibration Energies:,511.0,1274.0
Elapsed Real Time:,153.13
Elapsed Live Time:,150.0
Start Time:,March 06, 2026, 01:18:02
End Time:,March 06, 2026, 01:20:36
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
363,363.0,204
364,364.0,206
365,365.0,199
366,366.0,209
367,367.0,221
368,368.0,214
369,369.0,192
370,370.0,210
371,371.0,194
372,372.0,186
373,373.0,157
374,374.0,194
375,375.0,173
376,376.0,161
377,377.0,195
378,378.0,178
379,379.0,160
380,380.0,180
381,381.0,164
382,382.0,150
383,383.0,153
384,384.0,162
385,385.0,179
386,386.0,145
387,387.0,156
388,388.0,163
389,389.0,137
390,390.0,155
391,391.0,141
392,392.0,145
393,393.0,151
394,394.0,162
395,395.0,127
396,396.0,162
397,397.0,125
398,398.0,137
399,399.0,128
400,400.0,131
401,401.0,139
402,402.0,128
403,403.0,125
404,404.0,127
405,405.0,124
406,406.0,123
407,407.0,139
408,408.0,134
409,409.0,126
410,410.0,114
411,411.0,114
412,412.0,113
413,413.0,97
414,414.0,108
415,415.0,118
416,416.0,122
417,417.0,114
418,418.0,117
419,419.0,125
420,420.0,95
421,421.0,106
422,422.0,107
423,423.0,124
424,424.0,118
425,425.0,86
426,426.0,108
427,427.0,120
428,428.0,111
429,429.0,111
430,430.0,106
431,431.0,108
432,432.0,97
433,433.0,94
434,434.0,95
435,435.0,94
436,436.0,84
437,437.0,94
438,438.0,100
439,439.0,86
440,440.0,102
441,441.0,91
442,442.0,120
443,443.0,116
444,444.0,97
445,445.0,117
446,446.0,96
447,447.0,111
448,448.0,98
449,449.0,92
450,450.0,104
451,451.0,89
452,452.0,99
453,453.0,106
454,454.0,96
455,455.0,83
456,456.0,102
457,457.0,94
458,458.0,107
459,459.0,91
460,460.0,94
461,461.0,103
462,462.0,76
463,463.0,101
464,464.0,96
465,465.0,89
466,466.0,83
467,467.0,98
468,468.0,99
469,469.0,110
470,470.0,111
471,471.0,91
472,472.0,108
473,473.0,101
474,474.0,108
475,475.0,89
476,476.0,111
477,477.0,99
478,478.0,105
479,479.0,115
480,480.0,119
481,481.0,111
482,482.0,129
483,483.0,131
484,484.0,124
485,485.0,141
486,486.0,123
487,487.0,144
488,488.0,162
489,489.0,152
490,490.0,198
491,491.0,188
492,492.0,246
493,493.0,247
494,494.0,260
495,495.0,297
496,496.0,296
497,497.0,331
498,498.0,354
499,499.0,357
500,500.0,467
501,501.0,467
502,502.0,546
503,503.0,568
504,504.0,600
505,505.0,637
506,506.0,707
507,507.0,827
508,508.0,829
509,509.0,912
510,510.0,976
511,511.0,1085
512,512.0,1218
513,513.0,1218
514,514.0,1251
515,515.0,1341
516,516.0,1455
517,517.0,1481
518,518.0,1532
519,519.0,1674
520,520.0,1746
521,521.0,1741
522,522.0,1842
523,523.0,1865
524,524.0,1947
525,525.0,1983
526,526.0,2013
527,527.0,2052
528,528.0,2027
529,529.0,2136
530,530.0,2107
531,531.0,2109
532,532.0,1955
533,533.0,2197
534,534.0,2109
535,535.0,2040
536,536.0,2066
537,537.0,1940
538,538.0,1940
539,539.0,1844
540,540.0,1775
541,541.0,1715
542,542.0,1691
543,543.0,1522
544,544.0,1558
545,545.0,1395
546,546.0,1359
547,547.0,1212
548,548.0,1193
549,549.0,1105
550,550.0,1018
551,551.0,964
552,552.0,876
553,553.0,864
554,554.0,730
555,555.0,722
556,556.0,608
557,557.0,557
558,558.0,507
559,559.0,441
560,560.0,412
561,561.0,346
562,562.0,357
563,563.0,290
564,564.0,307
565,565.0,248
566,566.0,204
567,567.0,212
568,568.0,186
569,569.0,149
570,570.0,124
571,571.0,131
572,572.0,115
573,573.0,119
574,574.0,111
575,575.0,93
576,576.0,89
577,577.0,76
578,578.0,68
579,579.0,78
580,580.0,72
