Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,850
Conversion Gain:,1024
Coarse Gain:,4
Fine Gain:,1.56
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:,0.0,1.0
Calibration Channels:,373,630
Calibration Energies:,511.0,1274.0
Elapsed Real Time:,155.57
Elapsed Live Time:,150.0
Start Time:,March 06, 2026, 02:41:16
End Time:,March 06, 2026, 02:43:52
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
354,354.0,1187
355,355.0,1165
356,356.0,1197
357,357.0,1175
358,358.0,1218
359,359.0,1141
360,360.0,1164
361,361.0,1136
362,362.0,1148
363,363.0,1049
364,364.0,986
365,365.0,969
366,366.0,927
367,367.0,860
368,368.0,820
369,369.0,820
370,370.0,735
371,371.0,668
372,372.0,696
373,373.0,612
374,374.0,552
375,375.0,568
376,376.0,500
377,377.0,499
378,378.0,443
379,379.0,415
380,380.0,362
381,381.0,368
382,382.0,305
383,383.0,282
384,384.0,290
385,385.0,249
386,386.0,273
387,387.0,237
388,388.0,212
389,389.0,210
390,390.0,198
391,391.0,181
392,392.0,202
393,393.0,191
394,394.0,182
395,395.0,177
396,396.0,190
397,397.0,185
398,398.0,190
399,399.0,177
400,400.0,163
401,401.0,152
402,402.0,170
403,403.0,180
404,404.0,157
405,405.0,169
406,406.0,167
407,407.0,201
408,408.0,167
409,409.0,190
410,410.0,162
411,411.0,186
412,412.0,154
413,413.0,186
414,414.0,200
415,415.0,151
416,416.0,174
417,417.0,196
418,418.0,191
419,419.0,177
420,420.0,195
421,421.0,188
422,422.0,193
423,423.0,169
424,424.0,186
425,425.0,170
426,426.0,194
427,427.0,188
428,428.0,197
429,429.0,194
430,430.0,207
431,431.0,185
432,432.0,181
433,433.0,189
434,434.0,193
435,435.0,194
436,436.0,176
437,437.0,172
438,438.0,166
439,439.0,181
440,440.0,179
441,441.0,168
442,442.0,167
443,443.0,202
444,444.0,165
445,445.0,186
446,446.0,188
447,447.0,209
448,448.0,186
449,449.0,206
450,450.0,179
451,451.0,184
452,452.0,180
453,453.0,180
454,454.0,167
455,455.0,188
456,456.0,187
457,457.0,160
458,458.0,172
459,459.0,196
460,460.0,197
461,461.0,170
462,462.0,190
463,463.0,180
464,464.0,196
465,465.0,156
466,466.0,156
467,467.0,159
468,468.0,156
469,469.0,167
470,470.0,154
471,471.0,159
472,472.0,135
473,473.0,128
474,474.0,149
475,475.0,150
476,476.0,139
477,477.0,121
478,478.0,137
479,479.0,151
480,480.0,164
481,481.0,134
482,482.0,133
483,483.0,143
484,484.0,120
485,485.0,128
486,486.0,143
487,487.0,149
488,488.0,145
489,489.0,137
490,490.0,137
491,491.0,128
492,492.0,130
493,493.0,116
494,494.0,125
495,495.0,142
496,496.0,123
497,497.0,117
498,498.0,130
499,499.0,114
500,500.0,140
501,501.0,120
502,502.0,120
503,503.0,120
504,504.0,127
505,505.0,144
506,506.0,135
507,507.0,115
508,508.0,131
509,509.0,129
510,510.0,127
511,511.0,116
512,512.0,129
513,513.0,104
514,514.0,134
515,515.0,125
516,516.0,131
517,517.0,134
518,518.0,119
519,519.0,126
520,520.0,139
521,521.0,129
522,522.0,118
523,523.0,144
524,524.0,109
525,525.0,112
526,526.0,98
527,527.0,123
528,528.0,142
529,529.0,120
530,530.0,125
531,531.0,116
532,532.0,130
533,533.0,109
534,534.0,111
535,535.0,120
536,536.0,103
537,537.0,130
538,538.0,118
539,539.0,102
540,540.0,124
541,541.0,113
542,542.0,117
543,543.0,119
544,544.0,130
545,545.0,123
546,546.0,106
547,547.0,129
548,548.0,122
549,549.0,99
550,550.0,104
551,551.0,112
552,552.0,101
553,553.0,126
554,554.0,124
555,555.0,104
556,556.0,110
557,557.0,108
558,558.0,95
559,559.0,118
560,560.0,94
561,561.0,118
562,562.0,118
563,563.0,114
564,564.0,97
565,565.0,100
566,566.0,133
567,567.0,98
568,568.0,113
569,569.0,114
570,570.0,113
571,571.0,113
572,572.0,112
573,573.0,95
574,574.0,114
575,575.0,113
576,576.0,115
577,577.0,99
578,578.0,104
579,579.0,86
580,580.0,124
581,581.0,112
582,582.0,98
583,583.0,123
584,584.0,122
585,585.0,106
586,586.0,101
587,587.0,101
588,588.0,92
589,589.0,93
590,590.0,112
591,591.0,100
592,592.0,131
593,593.0,124
594,594.0,100
595,595.0,98
596,596.0,98
597,597.0,110
598,598.0,104
599,599.0,106
600,600.0,107
601,601.0,87
602,602.0,85
603,603.0,101
604,604.0,103
605,605.0,97
606,606.0,92
607,607.0,85
608,608.0,98
609,609.0,100
610,610.0,102
611,611.0,108
612,612.0,88
613,613.0,88
614,614.0,79
615,615.0,87
616,616.0,104
617,617.0,84
618,618.0,105
619,619.0,94
620,620.0,69
621,621.0,89
622,622.0,74
623,623.0,76
624,624.0,75
625,625.0,107
626,626.0,93
627,627.0,84
628,628.0,89
629,629.0,87
630,630.0,72
631,631.0,94
632,632.0,88
633,633.0,98
634,634.0,83
635,635.0,90
636,636.0,97
637,637.0,97
638,638.0,99
639,639.0,79
640,640.0,97
641,641.0,93
642,642.0,70
643,643.0,91
644,644.0,88
645,645.0,95
646,646.0,89
647,647.0,74
648,648.0,77
649,649.0,101
650,650.0,86
651,651.0,86
