Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,850
Conversion Gain:,1024
Coarse Gain:,4
Fine Gain:,1.56
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:,0.0,1.0
Calibration Channels:,373,630
Calibration Energies:,511.0,1274.0
Elapsed Real Time:,151.21
Elapsed Live Time:,150.0
Start Time:,March 06, 2026, 01:44:43
End Time:,March 06, 2026, 01:47:15
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
360,360.0,25
361,361.0,20
362,362.0,25
363,363.0,27
364,364.0,20
365,365.0,15
366,366.0,24
367,367.0,24
368,368.0,20
369,369.0,20
370,370.0,16
371,371.0,23
372,372.0,13
373,373.0,25
374,374.0,18
375,375.0,26
376,376.0,24
377,377.0,19
378,378.0,19
379,379.0,17
380,380.0,24
381,381.0,14
382,382.0,20
383,383.0,11
384,384.0,18
385,385.0,13
386,386.0,19
387,387.0,20
388,388.0,17
389,389.0,19
390,390.0,14
391,391.0,16
392,392.0,6
393,393.0,11
394,394.0,12
395,395.0,8
396,396.0,13
397,397.0,16
398,398.0,10
399,399.0,12
400,400.0,11
401,401.0,13
402,402.0,11
403,403.0,5
404,404.0,13
405,405.0,13
406,406.0,16
407,407.0,8
408,408.0,10
409,409.0,13
410,410.0,12
411,411.0,10
412,412.0,9
413,413.0,7
414,414.0,15
415,415.0,4
416,416.0,15
417,417.0,11
418,418.0,11
419,419.0,13
420,420.0,10
421,421.0,12
422,422.0,7
423,423.0,17
424,424.0,13
425,425.0,11
426,426.0,4
427,427.0,9
428,428.0,10
429,429.0,15
430,430.0,6
431,431.0,6
432,432.0,10
433,433.0,11
434,434.0,8
435,435.0,10
436,436.0,6
437,437.0,7
438,438.0,18
439,439.0,12
440,440.0,13
441,441.0,9
442,442.0,13
443,443.0,9
444,444.0,5
445,445.0,8
446,446.0,7
447,447.0,11
448,448.0,8
449,449.0,7
450,450.0,5
451,451.0,11
452,452.0,12
453,453.0,4
454,454.0,15
455,455.0,10
456,456.0,11
457,457.0,10
458,458.0,12
459,459.0,10
460,460.0,9
461,461.0,9
462,462.0,7
463,463.0,11
464,464.0,8
465,465.0,14
466,466.0,15
467,467.0,14
468,468.0,9
469,469.0,15
470,470.0,12
471,471.0,7
472,472.0,14
473,473.0,8
474,474.0,10
475,475.0,10
476,476.0,7
477,477.0,10
478,478.0,9
479,479.0,16
480,480.0,16
481,481.0,7
482,482.0,9
483,483.0,8
484,484.0,9
485,485.0,9
486,486.0,17
487,487.0,6
488,488.0,2
489,489.0,15
490,490.0,13
491,491.0,9
492,492.0,9
493,493.0,14
494,494.0,12
495,495.0,9
496,496.0,12
497,497.0,13
498,498.0,12
499,499.0,12
500,500.0,15
501,501.0,13
502,502.0,16
503,503.0,10
504,504.0,17
505,505.0,17
506,506.0,15
507,507.0,18
508,508.0,12
509,509.0,13
510,510.0,8
511,511.0,14
512,512.0,12
513,513.0,17
514,514.0,21
515,515.0,12
516,516.0,28
517,517.0,16
518,518.0,18
519,519.0,23
520,520.0,24
521,521.0,24
522,522.0,19
523,523.0,21
524,524.0,21
525,525.0,17
526,526.0,11
527,527.0,18
528,528.0,16
529,529.0,20
530,530.0,17
531,531.0,12
532,532.0,13
533,533.0,21
534,534.0,13
535,535.0,15
536,536.0,16
537,537.0,20
538,538.0,11
539,539.0,19
540,540.0,9
541,541.0,13
542,542.0,13
543,543.0,13
544,544.0,9
545,545.0,14
546,546.0,10
547,547.0,9
548,548.0,9
549,549.0,11
550,550.0,6
551,551.0,12
552,552.0,8
553,553.0,10
554,554.0,10
555,555.0,6
556,556.0,7
557,557.0,7
558,558.0,6
559,559.0,7
560,560.0,6
561,561.0,3
562,562.0,2
563,563.0,6
564,564.0,4
565,565.0,7
566,566.0,3
