Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,850
Conversion Gain:,1024
Coarse Gain:,4
Fine Gain:,1.56
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:,0.0,1.0
Calibration Channels:,373,630
Calibration Energies:,511.0,1274.0
Elapsed Real Time:,151.22
Elapsed Live Time:,150.0
Start Time:,March 06, 2026, 01:33:02
End Time:,March 06, 2026, 01:35:34
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,0.0,0
1,1.0,0
2,2.0,0
3,3.0,0
4,4.0,0
5,5.0,0
6,6.0,0
7,7.0,0
8,8.0,0
9,9.0,0
10,10.0,0
11,11.0,0
12,12.0,0
13,13.0,0
14,14.0,0
15,15.0,7
16,16.0,41
17,17.0,26
18,18.0,37
19,19.0,39
20,20.0,51
21,21.0,56
22,22.0,52
23,23.0,41
24,24.0,79
25,25.0,61
26,26.0,69
27,27.0,79
28,28.0,98
29,29.0,100
30,30.0,102
31,31.0,104
32,32.0,122
33,33.0,103
34,34.0,117
35,35.0,106
36,36.0,110
37,37.0,103
38,38.0,98
39,39.0,91
40,40.0,90
41,41.0,99
42,42.0,102
43,43.0,104
44,44.0,99
45,45.0,88
46,46.0,76
47,47.0,92
48,48.0,81
49,49.0,84
50,50.0,63
51,51.0,71
52,52.0,80
53,53.0,87
54,54.0,80
55,55.0,74
56,56.0,70
57,57.0,80
58,58.0,91
59,59.0,72
60,60.0,83
61,61.0,91
62,62.0,79
63,63.0,75
64,64.0,86
65,65.0,91
66,66.0,98
67,67.0,92
68,68.0,106
69,69.0,118
70,70.0,111
71,71.0,156
72,72.0,156
73,73.0,195
74,74.0,201
75,75.0,275
76,76.0,269
77,77.0,322
78,78.0,344
79,79.0,428
80,80.0,421
81,81.0,421
82,82.0,378
83,83.0,402
84,84.0,357
85,85.0,355
86,86.0,378
87,87.0,330
88,88.0,436
89,89.0,467
90,90.0,485
91,91.0,535
92,92.0,590
93,93.0,628
94,94.0,612
95,95.0,572
96,96.0,610
97,97.0,621
98,98.0,525
99,99.0,494
100,100.0,513
101,101.0,473
102,102.0,462
103,103.0,418
104,104.0,411
105,105.0,392
106,106.0,397
107,107.0,347
108,108.0,344
109,109.0,371
110,110.0,365
111,111.0,356
112,112.0,353
113,113.0,372
114,114.0,385
115,115.0,444
116,116.0,514
117,117.0,585
118,118.0,630
119,119.0,820
120,120.0,1052
121,121.0,1374
122,122.0,1602
123,123.0,2068
124,124.0,2626
125,125.0,3162
126,126.0,3818
127,127.0,4185
128,128.0,4800
129,129.0,5027
130,130.0,5255
131,131.0,5313
132,132.0,5015
133,133.0,4865
134,134.0,4338
135,135.0,3745
136,136.0,3225
137,137.0,2692
138,138.0,2291
139,139.0,1911
140,140.0,1472
141,141.0,1290
142,142.0,1082
143,143.0,981
144,144.0,869
145,145.0,775
146,146.0,712
147,147.0,678
148,148.0,594
149,149.0,551
150,150.0,461
151,151.0,378
152,152.0,302
153,153.0,315
154,154.0,240
155,155.0,184
156,156.0,163
157,157.0,99
158,158.0,88
159,159.0,63
160,160.0,60
161,161.0,61
162,162.0,47
163,163.0,40
164,164.0,44
165,165.0,31
166,166.0,42
167,167.0,28
168,168.0,32
169,169.0,38
170,170.0,36
171,171.0,42
172,172.0,30
173,173.0,31
174,174.0,23
175,175.0,34
